code,country,city,address,email,phone_number,contact_person
CPT-01,South Africa,Cape Town,"2nd Floor Sable Corner, Century City, Cape Town, 7441",,27 21 914 1764,Melanie Petersen
MLY-01,Malaysia,Kuala Lumpur,,,,
OSL-01,Norway,Oslo,"Spaces Aker Brygge, Att: Impact, Fjordalléen 16, 0250 Oslo",,47 450 20 485,
NYC-01,United States,New York City,"136 Madison Ave., FL 10, New York, NY 10016",,(917) 720-2883,Morgan Clarke
SBA-01,United States,Santa Barbara,"223 E. De La Guerra St., Santa Barbara, CA 93101",,805) 324-6021,Jet Porter
LON-01,United Kingdom,London,"15 Rathbone Place, London, W1T 1HU",,44 (020) 3876 6532,Meesha Panesar
CAN-01,Canada,Vancouver,"1062 Homer St #400 Vancouver, BC V6B 2W9, Canada",,,
SYD-01,Australia,Sydney,"Work Inc, Bay 7, Middlemiss Street, Lavender Bay, NSW",,61 2 8069 2085,
MEL-01,Australia,Melbourne,,,,
TYO-01,Japan,Tokyo,"JR Shinjuku Miraina Tower 18F, 4-1-6 Shinjuku, Shinjuku-ku, Tokyo 160-0022",,,
SEA-01,United States,Seattle,"500 Union St, #350, Seattle, WA 98104",,,
TLV-01,Israel,Tel Aviv,"26 Ben Avigdor St, Tel Aviv, Israel",,,
CLB-01,Columbus,Columbus,"445 N High St, Suite 410, Columbus, OH 43215",,(917) 720-2883,
SHA-01,Chine,Shanghai,"Shanghai Xuhui District, Room 306 5B, No. 8 Hengshan",,,
BER-01,Germany,Berlin,"Impact, c/o Mindspace, Friedrichstraße 68, 10117 Berlin",,,
IDN-01,Indonesia,Jakarta,"Pacific Place Mall Level 1. Jl. Jend. Sudirman Kav. 52-53, SCBD, Jakarta Selatan 12190",,,
SEA-01,United States,Seattle,"500 Union St, #350, Seattle, WA 98104",,,
,Sweden,Stockholm,"Impact, c/o Epicenter, Mäster Samuelsgatan 36, 111 57 Stockholm",,,
,United States,San Francisco,"600 California St., 13th fl., San Francisco, CA 94108",,1 (917) 720-2883,
